zgbh,icid
1359071   ,4288351614
1361209   ,2066996608
1361968   ,3039015002
1361970   ,1766758219
1361977   ,2625718944
1362100   ,0872744587
1362102   ,2061816288
1362109   ,0968840203
1362211   ,0167968098
1362234   ,2626623808
1362243   ,2062432480
1362302   ,4131225054
1362395   ,2064521792
1362403   ,0084563204
1362598   ,2058897968
1362847   ,4138335598
1362880   ,0974070331
1362904   ,4134446814
1363192   ,2674804331
1363226   ,0874094907
1363263   ,1788515883
1363295   ,0870140203
1363320   ,2064221712
1363451   ,4134661582
1363672   ,2061275632
1363738   ,1788587819
1363740   ,4287575278
1363745   ,3529154078
1363747   ,3247497443
1363867   ,3535105246
1363996   ,1782568395
1364001   ,2061519232
1364028   ,2675912235
1364058   ,0341976673
1364086   ,2069392144
1364093   ,3530662174
1364120   ,3251143923
1364213   ,2670425163
1364373   ,4287634158
1364478   ,2058902032
1364727   ,2069638800
1364732   ,1790162619
1364832   ,1569028576
1365064   ,0873670459
1365368   ,4139576078
1365675   ,2068063456
1302164   ,0258201242
1302511   ,4136854766
1302777   ,2673194763
1305355   ,2663414411
1306445   ,3532379806
1306644   ,0311500586
1309603   ,0959275301
1310063   ,0761333002
1310289   ,2624930112
41942     ,3739480555
875699    ,2919429089
881070    ,0036004561
881369    ,0334745617
881473    ,4035334177
1331768   ,3530616174
1331827   ,2466300112
1334493   ,2064688192
1335104   ,0965707467
1337941   ,0485346971
1339212   ,0873802859
1339513   ,3531337230
1340645   ,1785961099
1293578   ,2672558251
1293588   ,3248118131
1300012   ,2672070235
1300741   ,2671469147
1365945   ,2946936850
1365965   ,2623371888
1366249   ,3713127310
1366251   ,2068825744
1366258   ,2662258203
1366697   ,2052837904
1367083   ,2920257729
1367115   ,2953939234
1367181   ,2674799963
1367252   ,0967333259
1367275   ,0161780720
1367309   ,2673544779
1367350   ,1789778747
1367401   ,2580006455
1367403   ,2626746848
1367408   ,2675762587
1367440   ,2047584064
1367442   ,2676514779
1367506   ,2669820971
1367570   ,1789129627
1367572   ,2772054731
1367627   ,2624325504
1367723   ,0967451419
1364570   ,2625492208
1364601   ,4137354030
1364626   ,0865869627
1364701   ,0977959563
1364712   ,1789640795
1364799   ,2054084720
1364860   ,0873670475
1364874   ,2627269824
1364924   ,2066947920
1365019   ,2068949792
1365096   ,2673253099
1365210   ,2064271232
1365246   ,2066586352
1365439   ,4136317758
1365446   ,0973798715
1365453   ,3530694702
1365490   ,4135225614
1365590   ,2067228800
1365608   ,2063700880
1365622   ,2060924160
1305554   ,4135189102
1305593   ,4135173678
1305654   ,3529140638
1305703   ,2060109072
1305778   ,2673609739
1306713   ,1781197163
1307109   ,2672164891
1307241   ,0484651242
1308352   ,2049366800
1309464   ,2671625899
1310229   ,2755424506
34974     ,2717586156
807401    ,2114449540
877356    ,1057234327
881300    ,3740324097
881871    ,2064401280
1344918   ,2676815403
1350710   ,2626558144
1350834   ,2800448807
1351355   ,2053498576
1351550   ,2048801056
1352039   ,2062464960
1353012   ,2060192528
1300259   ,2672888443
1365798   ,0971658347
1365807   ,1762076890
1365834   ,2069561056
1365926   ,4134609358
1366020   ,2676387739
1366043   ,1784285947
1366086   ,2048316704
1366201   ,4130289294
1366308   ,0258411706
1366310   ,2674346603
1366322   ,3203669666
1366324   ,2674617947
1366342   ,2059414784
1366416   ,0874305579
1366472   ,2058589456
1366506   ,0873109323
1366570   ,2057069328
1366670   ,2064908000
1366847   ,2061801008
1366977   ,2664650859
1367004   ,4132544346
1367099   ,2673024331
1367195   ,1269883145
1367236   ,2674459371
1367302   ,3530192830
1367332   ,1766530891
1367492   ,0874962587
1367526   ,2061643136
1367737   ,1787251691
1367765   ,2674318955
1367836   ,4130336174
1367943   ,3535510142
1367977   ,2626875072
1367979   ,1766501835
1368020   ,2051414592
1368224   ,1762680442
1368233   ,0760508586
1368258   ,0086131124
1368297   ,3536129262
1368299   ,0866688939
1368301   ,2061895296
1368488   ,2061886176
1368495   ,1787276427
1368554   ,2625038928
1368611   ,2065917968
1368776   ,2068802272
1368872   ,0164375520
1368879   ,3741588049
1368881   ,2066049344
1369015   ,2579846871
1369236   ,2504976638
1369388   ,2068799168
1369430   ,1789638347
1371049   ,3530520478
1282495   ,0312518266
1283403   ,4136992574
1287127   ,3527862910
1287913   ,3535268062
1354239   ,2058210672
1354415   ,2059732640
1354611   ,2067334464
1354638   ,0164094032
1355668   ,1782337435
1356061   ,2062863008
1357672   ,2063044800
1357806   ,2065397728
1361878   ,2062299968
1362036   ,4136313566
1362043   ,2676562923
1362204   ,2066372144
1362268   ,2665478011
1362340   ,0760772154
1362491   ,2626187600
1362815   ,3207670210
1362822   ,0873364811
1363133   ,2067245056
1363288   ,2065919104
1363299   ,0164032720
1363351   ,2062607744
1363476   ,4136911198
1363512   ,1115215790
1363621   ,2064181376
1363670   ,1789190235
1363679   ,0761875482
1363681   ,1788272459
1363704   ,0758447930
1363706   ,1789786395
1364035   ,2067669760
1364065   ,2048801920
1364067   ,0967728187
1364179   ,0078552788
1364332   ,1764929947
1364408   ,1786196635
1364410   ,0969689019
1364576   ,1115507710
1364602   ,1790311883
1364625   ,2579852567
1364629   ,2060104768
1364791   ,1786427403
1364859   ,2049857056
1364861   ,0486513531
1364891   ,0981599243
1364992   ,0873899579
1365102   ,0260066170
1365472   ,2061930688
1365505   ,2049854112
1365507   ,2059692176
1365605   ,2062687824
1365632   ,0479155003
1365639   ,1766243547
1303517   ,4139646238
1303528   ,0762520714
1303785   ,4137698142
1304835   ,3209149938
1305743   ,1781217323
1306167   ,2671688827
1306490   ,1706613255
1306974   ,2660133940
1307119   ,3533744654
1307690   ,2674362315
1310025   ,1057001735
1310034   ,3250918243
812549    ,3740128443
814295    ,0969756267
875457    ,2466128320
877457    ,3783130132
877912    ,2920110849
879326    ,1605491994
880867    ,2976434369
881280    ,3741695393
881475    ,1763335194
881716    ,4028034129
882890    ,0341843281
1332935   ,2582098151
1333194   ,4136359086
1334729   ,1767428555
1365806   ,2062103168
1365824   ,3531497934
1365842   ,2049863760
1365957   ,0165320880
1366060   ,2061701856
1366071   ,2069310880
1366085   ,2066019920
1366127   ,2674617627
1366159   ,0973535243
1366284   ,2063436064
1366302   ,0972017323
1366309   ,2976001361
1366316   ,1766843499
1366323   ,1766195211
1366429   ,2068454768
1366478   ,2069567408
1366578   ,2066383056
1366657   ,2067766880
1366985   ,3536649694
1367003   ,2068968752
1367010   ,2066100960
1367040   ,4130531582
1367057   ,2063223712
1367171   ,2674851899
1367274   ,3218102706
1367482   ,2069295536
1367489   ,0757452810
1367514   ,0872743275
1367671   ,1789295259
1367756   ,2069161120
1367935   ,1769476875
1367978   ,2051504464
1367996   ,2051128160
1368021   ,1767495403
1368033   ,1767560731
1368076   ,0977760667
1368182   ,0881153947
1368207   ,2062367680
1368214   ,2061201424
1368232   ,1766561339
1368239   ,2675014827
1368257   ,2673909259
1368275   ,0486170923
1368436   ,1578635776
1368440   ,2069642032
1368454   ,2626391344
1368471   ,2048815920
1300899   ,2674251147
1300967   ,2061585952
1366023   ,1785340923
1366074   ,3210228866
1366147   ,2069044192
1366281   ,1781419867
1366735   ,1767425115
1366752   ,2675328971
1366850   ,2070545168
1367605   ,1779643563
1367653   ,0873842331
1367751   ,4134830366
1369530   ,2061768320
1369887   ,4137393678
1369889   ,0974295979
1369902   ,2625923232
1371001   ,3531928766
1371036   ,2627024944
1371038   ,2582817975
1284513   ,0967748987
1287113   ,4288356446
1288100   ,2674586235
1290801   ,2622285040
1358071   ,1567402864
1360467   ,1605188746
1363667   ,2672247435
1364006   ,          
1364008   ,          
1364023   ,          
1364025   ,          
1364177   ,0758781674
1364191   ,3535433902
1364240   ,2051228768
1364267   ,1784442123
1364549   ,2064900720
1364579   ,0965274715
