zgbh,icid
1952563   ,2657179524
1952572   ,          
881214    ,0003687009
881805    ,3743077633
881842    ,3247924291
892326    ,3546827461
1282871   ,2624388704
1355157   ,2590843527
1364005   ,          
1364007   ,          
1364022   ,          
1364024   ,          
1364163   ,2047852544
1364176   ,2626226288
1364192   ,1691388045
1364237   ,2919863009
1364239   ,2070152848
1365596   ,          
53877     ,2069116736
1970153   ,3535105246
1970155   ,3536769070
1970185   ,2062320064
1970187   ,          
1970202   ,3529256046
1970425   ,2060974096
1970427   ,0760421146
1970442   ,0065683063
1970444   ,2058903088
1970459   ,0762479959
1970461   ,4197888599
1970476   ,4129907406
1970496   ,2582562999
1970498   ,2069194496
1970524   ,2771634747
1970526   ,1768642923
1970542   ,2061386800
1970544   ,0003704769
1970559   ,2052010768
1970561   ,2047102544
1970595   ,0973535243
1970608   ,3528786462
1970610   ,2067027696
1970626   ,0762334583
1970643   ,2066026032
1970645   ,0768471543
1970661   ,2065088016
1970663   ,0770144791
1970678   ,0969370331
1970680   ,3250706483
1970695   ,0311865466
1970697   ,0779549175
1970712   ,2061184448
1970714   ,1786546283
1335235   ,4138569070
1339711   ,4135481950
880776    ,1811097482
1970755   ,          
1970757   ,          
1970772   ,          
1970789   ,          
1970791   ,          
1970802   ,          
1970804   ,          
1970819   ,          
1970821   ,          
1970834   ,          
1970836   ,          
1970851   ,          
1970853   ,          
1970868   ,          
1970870   ,          
1970885   ,          
1970887   ,          
1970902   ,          
1970904   ,          
1970919   ,          
1970921   ,          
1970936   ,          
1970938   ,          
1970951   ,          
1970953   ,          
1970030   ,2977837409
1970032   ,1790207131
1970035   ,3532338398
1970058   ,0769134311
1970060   ,2063765248
1970062   ,3498845722
1970097   ,3530896974
1970099   ,2674123035
07207     ,2655034308
120012    ,2737110747
1282056   ,4129338190
65970     ,0948477674
1293458   ,3528192430
1368171   ,2675619595
1371197   ,1579847984
1956675   ,1578918512
881369    ,0334745617
890080    ,2978172257
892266    ,0992053607
1290929   ,3529837598
1358934   ,2069292880
1362109   ,0968840203
1352804   ,2053875392
855097    ,1799249321
1970223   ,2675753515
1970230   ,1767019835
1970232   ,0164048512
1970255   ,0874020555
1970264   ,0762238602
1970291   ,2061136944
1970298   ,2466036112
1970321   ,1764842187
1970323   ,2676632715
1970574   ,2625811456
897010    ,3247454915
897237    ,1799146809
897409    ,3536346030
1335104   ,0965707467
1339513   ,3531337230
1341078   ,3209999744
1341642   ,4137336846
50338     ,2027061731
52222     ,1351172250
756953    ,3389823229
903470    ,4129912878
1312789   ,2674058523
1313338   ,2111911796
1317102   ,3536889598
790545    ,1350287210
1301840   ,2669628859
1303906   ,0166206800
1310396   ,3543279445
1959973   ,          
1960005   ,          
1962283   ,2068949312
1962710   ,2061804368
1963227   ,0873140267
1963736   ,2674954043
1964674   ,0778090167
1965087   ,0777998167
1965181   ,2626416592
1965214   ,2975476097
1966212   ,1809470490
1967536   ,0866701867
1967561   ,0967353803
1968115   ,0779346599
1968246   ,2058436832
1968308   ,0066135703
1968568   ,0066898519
1968570   ,4138059790
1968577   ,0066636215
1968632   ,2047635424
1968641   ,0875050267
1968643   ,0778781303
1968675   ,2064393808
1968734   ,0777912759
1968841   ,0065081975
1968843   ,2852216900
1968950   ,2618701648
1968954   ,2672195563
1968959   ,2674650539
1968961   ,0966917275
1969068   ,2067244688
