08:16:12:6567712 Emp Update Insert===================
08:16:16:2029740 -->Query 111ClassSum:39674
08:16:20:6842303 -->Query ProgressEmpClassSum:39722
08:17:57:5157688 Emp Update Insert===================
08:18:00:4939391 -->Query 111ClassSum:39674
08:18:04:6411763 -->Query ProgressEmpClassSum:39722
08:21:11:1638448 -->insert111_EmpClassError,Rollback :索引超出范围。必须为非负值并小于集合大小。
参数名: index
08:27:04:6470629 Emp Update Insert===================
08:27:07:1432057 -->Query 111ClassSum:39674
08:27:11:3194445 -->Query ProgressEmpClassSum:39722
08:27:13:4955690 128099
08:27:13:4985692 128100
08:27:13:5005693 128102
08:27:13:5035695 128113
08:27:13:5065696 128114
08:27:13:5095698 128115
08:27:13:5115699 128116
08:27:13:5145701 128118
08:27:13:5175703 128123
08:27:13:5205704 128129
08:27:13:5225705 128131
08:27:13:5255707 128141
08:27:13:5285709 128146
08:27:13:5315711 128152
08:27:13:5345712 128153
08:27:13:5365714 128157
08:27:13:5405716 128161
08:27:13:5425717 128162
08:27:13:5455719 128169
08:27:13:5485720 128173
08:27:13:5535723 128178
08:27:13:5565725 128179
08:27:13:5605727 128190
08:27:13:5635729 128193
08:27:13:5665731 128194
08:27:13:5705733 128199
08:27:13:5735735 128202
08:27:13:5765736 128208
08:27:13:5795738 128209
08:27:13:5825740 128211
08:27:13:5865742 128217
08:27:13:5895744 128218
08:27:13:5925746 128219
08:27:13:5955747 128220
08:27:13:5975748 128226
08:27:13:6005750 128230
08:27:13:6045752 128236
08:27:13:6075754 128239
08:27:13:6115756 128240
08:27:13:6165759 128257
08:27:13:6195761 128258
08:27:13:6225763 128263
08:27:13:6305767 128264
08:27:13:6345770 128266
08:27:13:6385772 128272
08:27:13:6415774 128273
08:27:13:6445775 128274
08:27:13:6495778 128275
08:27:13:6525780 128276
08:27:13:6555782 128277
08:27:13:6585783 128281
08:27:13:6625786 128296
08:27:13:6655787 128297
08:27:13:6805796 128298
08:27:13:6835798 128299
08:27:13:6865799 128300
08:27:13:6905802 128301
08:27:13:6935803 128310
08:27:13:6965805 128311
08:27:13:7005807 128313
08:27:13:7035809 128316
08:27:13:7065811 128317
08:27:13:7105813 128318
08:27:13:7135815 128320
08:27:13:7165816 128321
08:27:13:7265822 128323
08:27:13:7295824 128326
08:27:13:7325826 128329
08:27:13:7355827 128331
08:27:13:7385829 128334
08:27:13:7415831 128336
08:27:13:7455833 128337
08:27:13:7485835 128339
08:27:13:7515836 128340
08:27:13:7545838 128341
08:27:13:7715848 128342
08:27:13:7745850 128344
08:27:13:7785852 128347
08:27:13:7815854 128350
08:27:13:7845855 128351
08:27:13:7885858 128352
08:27:13:7925860 128353
08:27:13:7955862 128354
